Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,TenureDays,AvgOrderValue,PurchaseFrequencyPerYear,CLV_Approx,UniqueProducts,TotalItemsPurchased,AvgItemsPerOrder,WeekendOrderRatio,PrimaryCountry
12346,326,12,580.86,2,5,2,252,9,400,48.405,10.957500000000001,580.86,27,270,7.9411764705882355,0.0,United Kingdom
12347,2,8,5591.72,5,4,5,545,14,402,698.965,7.26865671641791,5591.72,126,3246,12.8300395256917,0.15810276679841898,Iceland
12348,75,5,1821.3999999999999,3,4,4,344,11,362,364.28,5.044889502762431,1821.3999999999999,25,2714,53.21568627450981,0.058823529411764705,Finland
12349,19,4,3642.94,5,3,5,535,13,570,910.735,2.563157894736842,3642.94,138,1624,9.28,0.0,Italy
12350,310,1,312.40000000000003,2,1,2,212,5,1,312.40000000000003,365.25,312.40000000000003,17,197,11.588235294117647,0.0,Norway
12351,375,1,300.93,2,1,2,212,5,1,300.93,365.25,300.93,21,261,12.428571428571429,0.0,Unspecified
12352,36,10,1909.54,4,5,4,454,13,356,190.954,10.259831460674157,1909.54,70,724,7.029126213592233,0.0,Norway
12353,204,2,406.76,2,2,2,222,6,204,203.38,3.5808823529411766,406.76,23,212,8.833333333333334,0.0,Bahrain
12354,232,1,1079.4,2,1,3,213,6,1,1079.4,365.25,1079.4,58,530,9.137931034482758,0.0,Spain
12355,214,2,947.61,2,2,3,223,7,353,473.805,2.0694050991501416,947.6099999999999,35,543,15.514285714285714,0.0,Bahrain
12356,23,6,6333.68,4,4,5,445,13,401,1055.6133333333335,5.465087281795512,6333.68,104,3417,23.895104895104897,0.0,Portugal
12357,33,3,17448.66,4,3,5,435,12,355,5816.22,3.086619718309859,17448.66,261,6587,22.25337837837838,0.44256756756756754,Switzerland
12358,2,5,3645.07,5,4,5,545,14,730,729.014,2.5017123287671232,3645.0699999999997,56,1079,14.012987012987013,0.0,Austria
12359,58,10,7754.1900000000005,4,5,5,455,14,676,775.4190000000001,5.40310650887574,7754.190000000002,305,2752,7.53972602739726,0.1726027397260274,Cyprus
12360,52,8,3909.29,4,4,5,445,13,603,488.66125,4.845771144278607,3909.29,160,2459,11.331797235023041,0.0,Austria
12361,287,4,511.25,2,3,2,232,7,394,127.8125,3.708121827411168,511.25,18,235,8.10344827586207,0.20689655172413793,Belgium
12362,3,11,5222.01,5,5,5,555,15,735,474.72818181818184,5.466326530612245,5222.01,201,2230,8.352059925093632,0.0,Belgium
12363,110,2,552.0,3,2,2,322,7,132,276.0,5.534090909090908,552.0,23,408,17.73913043478261,0.0,Unspecified
12364,8,4,1313.1,5,3,4,534,12,104,328.275,14.048076923076922,1313.0999999999997,70,1506,17.71764705882353,0.25882352941176473,Belgium
12365,291,2,338.69,2,2,2,222,6,1,169.345,730.5,338.69,22,174,7.909090909090909,0.0,Cyprus
12366,634,1,500.24,1,1,2,112,4,1,500.24,365.25,500.24,3,296,98.66666666666667,0.0,Cyprus
12367,4,1,168.9,5,1,1,511,7,1,168.9,365.25,168.9,11,173,15.727272727272727,0.0,Denmark
12368,628,1,917.7,1,1,3,113,5,1,917.7,365.25,917.6999999999999,18,330,18.333333333333332,1.0,Cyprus
12369,413,3,1637.15,1,3,4,134,8,228,545.7166666666667,4.805921052631579,1637.15,90,1241,13.344086021505376,0.0,Austria
12370,51,7,4085.35,4,4,5,445,13,617,583.6214285714285,4.143841166936791,4085.3499999999995,168,2429,12.024752475247524,0.0,Cyprus
12371,45,5,3671.38,4,4,5,445,13,600,734.2760000000001,3.04375,3671.38,134,1436,8.598802395209582,0.0,Switzerland
12372,72,3,1298.04,3,3,4,334,10,224,432.68,4.891741071428572,1298.04,34,794,15.26923076923077,0.0,Denmark
12373,311,3,1017.6500000000001,2,3,3,233,8,362,339.2166666666667,3.0269337016574585,1017.6500000000001,36,516,10.117647058823529,0.0,Austria
12374,25,4,2813.2200000000003,4,3,4,434,11,563,703.3050000000001,2.5950266429840143,2813.2200000000003,79,1362,16.40963855421687,0.0,Austria
12375,11,2,413.5,5,2,2,522,9,87,206.75,8.39655172413793,413.5,14,178,10.470588235294118,0.0,Finland
12376,390,2,437.15,2,2,2,222,6,28,218.575,26.089285714285715,437.15,11,240,18.46153846153846,0.0,Switzerland
