CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2009-12,955.0,337.0,319.0,406.0,363.0,343.0,360.0,327.0,321.0,346.0,403.0,473.0,359.0,270.0,233.0,289.0,251.0,289.0,270.0,248.0,244.0,301.0,291.0,389.0
2010-01,383.0,79.0,119.0,117.0,101.0,115.0,99.0,88.0,107.0,122.0,116.0,66.0,85.0,68.0,72.0,58.0,90.0,76.0,71.0,75.0,93.0,74.0,94.0,
2010-02,374.0,89.0,84.0,109.0,92.0,75.0,72.0,107.0,95.0,103.0,43.0,47.0,57.0,65.0,46.0,75.0,60.0,61.0,54.0,86.0,86.0,61.0,,
2010-03,443.0,84.0,102.0,107.0,103.0,90.0,109.0,134.0,122.0,48.0,51.0,63.0,89.0,72.0,89.0,75.0,77.0,69.0,78.0,89.0,94.0,,,
2010-04,294.0,57.0,57.0,48.0,54.0,66.0,81.0,77.0,31.0,32.0,22.0,41.0,41.0,46.0,46.0,46.0,41.0,44.0,53.0,66.0,,,,
2010-05,254.0,40.0,43.0,44.0,45.0,65.0,54.0,32.0,15.0,21.0,29.0,34.0,39.0,39.0,25.0,32.0,35.0,42.0,39.0,,,,,
2010-06,270.0,47.0,51.0,55.0,62.0,77.0,34.0,24.0,22.0,32.0,29.0,37.0,40.0,33.0,30.0,33.0,36.0,55.0,,,,,,
2010-07,186.0,29.0,34.0,55.0,54.0,26.0,21.0,27.0,27.0,21.0,25.0,27.0,25.0,25.0,36.0,32.0,44.0,,,,,,,
2010-08,162.0,33.0,48.0,52.0,28.0,19.0,16.0,20.0,22.0,21.0,21.0,20.0,25.0,30.0,29.0,32.0,,,,,,,,
2010-09,243.0,55.0,57.0,30.0,22.0,25.0,33.0,24.0,31.0,32.0,28.0,24.0,53.0,40.0,39.0,,,,,,,,,
2010-10,377.0,97.0,55.0,47.0,33.0,31.0,49.0,52.0,40.0,35.0,40.0,49.0,72.0,87.0,,,,,,,,,,
2010-11,325.0,57.0,30.0,31.0,25.0,28.0,42.0,32.0,28.0,29.0,36.0,47.0,83.0,,,,,,,,,,,
2010-12,76.0,7.0,4.0,7.0,9.0,5.0,4.0,7.0,4.0,2.0,7.0,15.0,,,,,,,,,,,,
2011-01,71.0,12.0,15.0,14.0,15.0,11.0,11.0,9.0,8.0,15.0,18.0,,,,,,,,,,,,,
2011-02,124.0,20.0,19.0,23.0,27.0,19.0,19.0,18.0,18.0,22.0,,,,,,,,,,,,,,
2011-03,179.0,33.0,39.0,36.0,40.0,27.0,37.0,36.0,43.0,,,,,,,,,,,,,,,
2011-04,106.0,27.0,21.0,21.0,19.0,25.0,19.0,27.0,,,,,,,,,,,,,,,,
2011-05,111.0,26.0,27.0,18.0,24.0,23.0,29.0,,,,,,,,,,,,,,,,,
2011-06,108.0,25.0,23.0,29.0,22.0,31.0,,,,,,,,,,,,,,,,,,
2011-07,102.0,22.0,31.0,28.0,35.0,,,,,,,,,,,,,,,,,,,
2011-08,106.0,29.0,33.0,28.0,,,,,,,,,,,,,,,,,,,,
2011-09,189.0,51.0,71.0,,,,,,,,,,,,,,,,,,,,,
2011-10,221.0,71.0,,,,,,,,,,,,,,,,,,,,,,
2011-11,191.0,,,,,,,,,,,,,,,,,,,,,,,
